LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5253
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:29:13,0                 
Time,Ampl
994747,0.0075252759
994748,0.0056899125
994749,0.01074865
994750,0.0061961454
994751,0.012670181
994752,0.0061975815
994753,0.0064359778
994754,0.006439568
994755,0.010549747
994756,0.0061372644
994757,0.011949966
994758,0.017500574
994759,0.010049977
994760,0.0092349779
994761,0.0066004135
994762,0.0097196689
994763,0.0089972997
994764,0.0062751323
994765,0.0069170785
994766,0.014744658
994767,0.0088465074
994768,0.016983045
994769,0.0059713926
994770,0.0062758503
994771,0.0054656984
994772,0.006204044
994773,0.0060783834
994774,0.0058356789
994775,0.0091667622
994776,0.0060546873
994777,0.0087251551
994778,0.013775276
994779,0.012260168
994780,0.011917653
994781,0.0059455424
994782,0.037663717
994783,0.0052520847
994784,0.0060345819
994785,0.015633179
994786,0.0066470876
994787,0.0088493796
994788,0.0062507181
994789,0.0056847101
994790,0.0073156022
994791,0.0063699163
994792,0.018029068
994793,0.0060891546
994794,0.006058278
994795,0.006226304
994796,0.0091947671
994797,0.0063289865
994798,0.0055999937
994799,0.010505947
994800,0.0079790903
994801,0.0066880169
994802,0.0093010394
994803,0.0062334845
994804,0.0085678995
994805,0.0097893206
994806,0.0092895506
994807,0.0071762982
994808,0.0068423999
994809,0.010213695
994810,0.0067124311
994811,0.0074211569
994812,0.0064180261
994813,0.0088350186
994814,0.019749541
994815,0.010519186
994816,0.0065487134
994817,0.0058852253
994818,0.0061724493
994819,0.011752499
994820,0.017876837
994821,0.0088041415
994822,0.0064869602
994823,0.012056957
994824,0.006049661
994825,0.011873133
994826,0.009031767
994827,0.013475127
994828,0.0080006318
994829,0.0060798195
994830,0.0063490923
994831,0.02053869
994832,0.0061351103
994833,0.0090877758
994834,0.0087732654
994835,0.0091839954
994836,0.017313879
994837,0.0089520626
994838,0.0063842773
994839,0.0038728339
994840,0.0062758503
994841,0.0063368855
994842,0.0069163605
994843,0.0061099781
994844,0.012677361
994845,0.0063060089
994846,0.022138771
994847,0.0094360355
994848,0.0062622069
994849,0.0082084043
994850,0.0064941407
994851,0.0071159811
994852,0.0091710705
994853,0.0068423999
994854,0.01474753
994855,0.013789861
994856,0.023528693
994857,0.0083567901
994858,0.0061911191
994859,0.0063304226
994860,0.0061975815
994861,0.0073350128
994862,0.012447582
994863,0.0064144358
994864,0.00641659
994865,0.0065487134
994866,0.0073235007
994867,0.015847599
994868,0.01520278
