LECROYHDO6104B,11090,Histogram
Segments,1,SegmentSize,488
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:37:34,0                 
Time,Ampl
-0.008,0
-0.0079,0
-0.0078,0
-0.0077,0
-0.0076,0
-0.0075,0
-0.0074,0
-0.0073,0
-0.0072,0
-0.0071,0
-0.007,0
-0.0069,0
-0.0068,0
-0.0067,0
-0.0066,0
-0.0065,0
-0.0064,0
-0.0063,0
-0.0062,0
-0.0061,0
-0.006,0
-0.0059,0
-0.0058,0
-0.0057,0
-0.0056,0
-0.0055,0
-0.0054,0
-0.0053,0
-0.0052,0
-0.0051,0
-0.005,0
-0.0049,0
-0.0048,0
-0.0047,0
-0.0046,0
-0.0045,0
-0.0044,0
-0.0043,0
-0.0042,0
-0.0041,0
-0.004,0
-0.0039,0
-0.0038,0
-0.0037,0
-0.0036,0
-0.0035,0
-0.0034,0
-0.0033,0
-0.0032,0
-0.0031,0
-0.003,0
-0.0029,0
-0.0028,0
-0.0027,0
-0.0026,0
-0.0025,0
-0.0024,0
-0.0023,0
-0.0022,0
-0.0021,0
-0.002,0
-0.0019,0
-0.0018,0
-0.0017,0
-0.0016,0
-0.0015,0
-0.0014,0
-0.0013,0
-0.0012,0
-0.0011,0
-0.001,0
-0.0009,0
-0.0008,0
-0.0007,0
-0.0006,0
-0.0005,0
-0.0004,0
-0.0003,0
-0.0002,0
-0.0001,0
6.695e-18,0
0.0001,0
0.0002,0
0.0003,0
0.0004,0
0.0005,0
0.0006,0
0.0007,0
0.0008,0
0.0009,0
0.001,1
0.0011,0
0.0012,0
0.0013,0
0.0014,1
0.0015,1
0.0016,5
0.0017,8
0.0018,4
0.0019,5
0.002,5
0.0021,10
0.0022,10
0.0023,14
0.0024,11
0.0025,26
0.0026,27
0.0027,23
0.0028,26
0.0029,31
0.003,35
0.0031,32
0.0032,31
0.0033,21
0.0034,13
0.0035,5
0.0036,7
0.0037,9
0.0038,3
0.0039,4
0.004,10
0.0041,15
0.0042,7
0.0043,10
0.0044,11
0.0045,16
0.0046,24
0.0047,21
0.0048,52
0.0049,67
0.005,60
0.0051,65
0.0052,93
0.0053,103
0.0054,134
0.0055,201
0.0056,267
0.0057,397
0.0058,531
0.0059,722
0.006,815
0.0061,822
0.0062,752
0.0063,547
0.0064,456
0.0065,338
0.0066,257
0.0067,201
0.0068,132
0.0069,54
0.007,42
0.0071,23
0.0072,20
0.0073,26
0.0074,14
0.0075,23
0.0076,15
0.0077,15
0.0078,31
0.0079,13
0.008,30
0.0081,30
0.0082,53
0.0083,60
0.0084,82
0.0085,118
0.0086,150
0.0087,200
0.0088,215
0.0089,294
0.009,285
0.0091,294
0.0092,279
0.0093,233
0.0094,173
0.0095,127
0.0096,106
0.0097,113
0.0098,92
0.0099,86
0.01,59
0.0101,64
0.0102,43
0.0103,24
0.0104,19
0.0105,12
0.0106,9
0.0107,14
0.0108,14
0.0109,25
0.011,24
0.0111,27
0.0112,29
0.0113,33
0.0114,43
0.0115,43
0.0116,71
0.0117,67
0.0118,81
0.0119,108
0.012,128
0.0121,140
0.0122,137
0.0123,147
0.0124,117
0.0125,78
0.0126,42
0.0127,54
0.0128,46
0.0129,38
0.013,39
0.0131,40
0.0132,35
0.0133,21
0.0134,18
0.0135,21
0.0136,21
0.0137,18
0.0138,25
0.0139,19
0.014,27
0.0141,22
0.0142,24
0.0143,31
0.0144,31
0.0145,24
0.0146,25
0.0147,34
0.0148,34
0.0149,43
0.015,52
0.0151,67
0.0152,76
0.0153,65
0.0154,81
0.0155,52
0.0156,58
0.0157,28
0.0158,18
0.0159,15
0.016,20
0.0161,16
0.0162,15
0.0163,23
0.0164,20
0.0165,34
0.0166,23
0.0167,22
0.0168,16
0.0169,25
0.017,18
0.0171,21
0.0172,17
0.0173,12
0.0174,10
0.0175,16
0.0176,16
0.0177,14
0.0178,12
0.0179,24
0.018,21
0.0181,29
0.0182,34
0.0183,31
0.0184,32
0.0185,32
0.0186,29
0.0187,17
0.0188,11
0.0189,11
0.019,6
0.0191,6
0.0192,3
0.0193,9
0.0194,13
0.0195,12
0.0196,16
0.0197,18
0.0198,18
0.0199,20
0.02,27
0.0201,17
0.0202,13
0.0203,12
0.0204,10
0.0205,7
0.0206,10
0.0207,7
0.0208,11
0.0209,15
0.021,19
0.0211,10
0.0212,21
0.0213,18
0.0214,22
0.0215,26
0.0216,22
0.0217,19
0.0218,11
0.0219,10
0.022,4
0.0221,6
0.0222,4
0.0223,8
0.0224,6
0.0225,3
0.0226,5
0.0227,3
0.0228,8
0.0229,9
0.023,16
0.0231,11
0.0232,6
0.0233,15
0.0234,8
0.0235,8
0.0236,6
0.0237,6
0.0238,7
0.0239,6
0.024,9
0.0241,12
0.0242,9
0.0243,12
0.0244,13
0.0245,13
0.0246,22
0.0247,15
0.0248,20
0.0249,13
0.025,8
0.0251,4
0.0252,8
0.0253,3
0.0254,1
0.0255,3
0.0256,3
0.0257,6
0.0258,5
0.0259,4
0.026,8
0.0261,4
0.0262,4
0.0263,9
0.0264,5
0.0265,8
0.0266,9
0.0267,10
0.0268,7
0.0269,7
0.027,3
0.0271,4
0.0272,4
0.0273,10
0.0274,11
0.0275,13
0.0276,11
0.0277,6
0.0278,13
0.0279,14
0.028,6
0.0281,7
0.0282,4
0.0283,6
0.0284,4
0.0285,3
0.0286,2
0.0287,4
0.0288,3
0.0289,3
0.029,1
0.0291,1
0.0292,2
0.0293,5
0.0294,4
0.0295,3
0.0296,5
0.0297,7
0.0298,4
0.0299,8
0.03,5
0.0301,5
0.0302,5
0.0303,10
0.0304,7
0.0305,6
0.0306,5
0.0307,8
0.0308,8
0.0309,2
0.031,7
0.0311,8
0.0312,3
0.0313,3
0.0314,3
0.0315,1
0.0316,1
0.0317,1
0.0318,0
0.0319,1
0.032,2
0.0321,2
0.0322,2
0.0323,1
0.0324,0
0.0325,2
0.0326,3
0.0327,3
0.0328,1
0.0329,7
0.033,12
0.0331,5
0.0332,4
0.0333,5
0.0334,7
0.0335,4
0.0336,3
0.0337,2
0.0338,4
0.0339,2
0.034,2
0.0341,4
0.0342,2
0.0343,3
0.0344,4
0.0345,1
0.0346,0
0.0347,3
0.0348,4
0.0349,2
0.035,1
0.0351,4
0.0352,3
0.0353,0
0.0354,4
0.0355,2
0.0356,7
0.0357,5
0.0358,7
0.0359,3
0.036,3
0.0361,4
0.0362,4
0.0363,4
0.0364,3
0.0365,4
0.0366,3
0.0367,6
0.0368,6
0.0369,4
0.037,5
0.0371,3
0.0372,3
0.0373,5
0.0374,4
0.0375,1
0.0376,2
0.0377,2
0.0378,0
0.0379,1
0.038,0
0.0381,1
0.0382,2
0.0383,4
0.0384,3
0.0385,0
0.0386,0
0.0387,2
0.0388,0
0.0389,5
0.039,3
0.0391,1
0.0392,1
0.0393,5
0.0394,5
0.0395,12
0.0396,11
0.0397,9
0.0398,12
0.0399,6
0.04,5
0.0401,3
0.0402,1
0.0403,0
0.0404,0
0.0405,0
0.0406,0
0.0407,0
