LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 17:14:35,0                 
Time,Ampl
-2.160181e-07,-0.0068943934
-2.159181e-07,-0.0068821864
-2.158181e-07,-0.0068606445
-2.157181e-07,-0.0068383847
-2.156181e-07,-0.0068254596
-2.155181e-07,-0.0068261776
-2.154181e-07,-0.0068376666
-2.153181e-07,-0.0068520278
-2.152181e-07,-0.0068599265
-2.151181e-07,-0.0068570542
-2.150181e-07,-0.0068470014
-2.149181e-07,-0.0068376666
-2.148181e-07,-0.0068369485
-2.147181e-07,-0.0068491556
-2.146181e-07,-0.0068714154
-2.145181e-07,-0.0068936753
-2.144181e-07,-0.0069058824
-2.143181e-07,-0.006902292
-2.142181e-07,-0.0068843405
-2.141181e-07,-0.0068599265
-2.140181e-07,-0.0068369485
-2.139181e-07,-0.0068218693
-2.138181e-07,-0.0068139706
-2.137181e-07,-0.0068096622
-2.136181e-07,-0.0068024816
-2.135181e-07,-0.0067902746
-2.134181e-07,-0.0067759134
-2.133181e-07,-0.0067665786
-2.132181e-07,-0.0067680147
-2.131181e-07,-0.0067823759
-2.130181e-07,-0.0068046358
-2.129181e-07,-0.0068261776
-2.128181e-07,-0.0068369485
-2.127181e-07,-0.0068333582
-2.126181e-07,-0.0068175609
-2.125181e-07,-0.0067967371
-2.124181e-07,-0.0067795037
-2.123181e-07,-0.0067701689
-2.122181e-07,-0.0067680147
-2.121181e-07,-0.0067687328
-2.120181e-07,-0.0067680147
-2.119181e-07,-0.0067637063
-2.118181e-07,-0.006759398
-2.117181e-07,-0.006759398
-2.116181e-07,-0.0067680147
-2.115181e-07,-0.006783094
-2.114181e-07,-0.0067996094
-2.113181e-07,-0.006807508
-2.112181e-07,-0.0068024816
-2.111181e-07,-0.0067845301
-2.110181e-07,-0.006760116
-2.109181e-07,-0.0067407284
-2.108181e-07,-0.0067335478
-2.107181e-07,-0.0067392923
-2.106181e-07,-0.0067507812
-2.105181e-07,-0.006759398
-2.104181e-07,-0.0067565257
-2.103181e-07,-0.0067414465
-2.102181e-07,-0.0067213408
-2.101181e-07,-0.0067084157
-2.100181e-07,-0.0067105699
-2.099181e-07,-0.0067306756
-2.098181e-07,-0.006760116
-2.097181e-07,-0.0067881204
-2.096181e-07,-0.0068024816
-2.095181e-07,-0.0067988913
-2.094181e-07,-0.006783094
-2.093181e-07,-0.0067651425
-2.092181e-07,-0.0067565257
-2.091181e-07,-0.0067608341
-2.090181e-07,-0.0067744773
-2.089181e-07,-0.0067874023
-2.088181e-07,-0.0067909926
-2.087181e-07,-0.0067823759
-2.086181e-07,-0.0067658605
-2.085181e-07,-0.0067543716
-2.084181e-07,-0.0067565257
-2.083181e-07,-0.0067759134
-2.082181e-07,-0.0068060719
-2.081181e-07,-0.0068340763
-2.080181e-07,-0.0068484375
-2.079181e-07,-0.0068434111
-2.078181e-07,-0.0068233054
-2.077181e-07,-0.0068017636
-2.076181e-07,-0.0067909926
-2.075181e-07,-0.0067996094
-2.074181e-07,-0.0068247415
-2.073181e-07,-0.0068570542
-2.072181e-07,-0.0068829044
-2.071181e-07,-0.0068943934
-2.070181e-07,-0.0068922392
-2.069181e-07,-0.0068850586
-2.068181e-07,-0.0068829044
-2.067181e-07,-0.0068936753
-2.066181e-07,-0.0069152171
-2.065181e-07,-0.0069381951
-2.064181e-07,-0.0069518382
-2.063181e-07,-0.0069475299
-2.062181e-07,-0.0069259881
-2.061181e-07,-0.0068965476
-2.060181e-07,-0.0068714154
-2.059181e-07,-0.0068606445
-2.058181e-07,-0.006866389
-2.057181e-07,-0.0068807502
-2.056181e-07,-0.0068943934
-2.055181e-07,-0.0068965476
-2.054181e-07,-0.0068836225
-2.053181e-07,-0.0068606445
-2.052181e-07,-0.0068369485
-2.051181e-07,-0.0068225873
-2.050181e-07,-0.0068225873
-2.049181e-07,-0.0068333582
-2.048181e-07,-0.0068484375
-2.047181e-07,-0.0068584903
-2.046181e-07,-0.0068584903
-2.045181e-07,-0.0068498736
-2.044181e-07,-0.0068369485
-2.043181e-07,-0.0068268957
-2.042181e-07,-0.0068240234
-2.041181e-07,-0.0068290499
-2.040181e-07,-0.0068369485
-2.039181e-07,-0.0068448472
-2.038181e-07,-0.0068484375
-2.037181e-07,-0.0068491556
-2.036181e-07,-0.0068484375
-2.035181e-07,-0.0068491556
-2.034181e-07,-0.0068520278
-2.033181e-07,-0.0068570542
-2.032181e-07,-0.0068599265
-2.031181e-07,-0.0068592084
-2.030181e-07,-0.0068534639
-2.029181e-07,-0.0068455653
-2.028181e-07,-0.0068369485
-2.027181e-07,-0.006831204
-2.026181e-07,-0.0068276137
-2.025181e-07,-0.0068268957
-2.024181e-07,-0.0068254596
-2.023181e-07,-0.0068233054
-2.022181e-07,-0.0068211512
-2.021181e-07,-0.0068211512
-2.020181e-07,-0.0068254596
-2.019181e-07,-0.0068355124
-2.018181e-07,-0.0068484375
-2.017181e-07,-0.0068620807
-2.016181e-07,-0.0068714154
-2.015181e-07,-0.0068735696
-2.014181e-07,-0.0068685432
-2.013181e-07,-0.0068592084
-2.012181e-07,-0.0068484375
-2.011181e-07,-0.0068391027
-2.010181e-07,-0.0068326402
-2.009181e-07,-0.0068290499
-2.008181e-07,-0.0068254596
-2.007181e-07,-0.0068233054
-2.006181e-07,-0.0068225873
-2.005181e-07,-0.0068261776
-2.004181e-07,-0.0068369485
-2.003181e-07,-0.006854182
-2.002181e-07,-0.0068757238
-2.001181e-07,-0.0068987017
-2.000181e-07,-0.0069173713
-1.999181e-07,-0.0069302964
-1.998181e-07,-0.006936759
-1.997181e-07,-0.0069389131
-1.996181e-07,-0.0069403493
-1.995181e-07,-0.0069425034
-1.994181e-07,-0.0069460937
-1.993181e-07,-0.0069496841
-1.992181e-07,-0.0069518382
-1.991181e-07,-0.0069518382
-1.990181e-07,-0.0069511202
-1.989181e-07,-0.0069504021
-1.988181e-07,-0.0069518382
-1.987181e-07,-0.0069561466
-1.986181e-07,-0.0069633272
-1.985181e-07,-0.0069697898
-1.984181e-07,-0.0069748162
-1.983181e-07,-0.0069784065
-1.982181e-07,-0.0069819968
-1.981181e-07,-0.0069877413
-1.980181e-07,-0.0069977941
-1.979181e-07,-0.0070121553
-1.978181e-07,-0.0070293888
-1.977181e-07,-0.0070444681
-1.976181e-07,-0.007055239
-1.975181e-07,-0.0070602654
-1.974181e-07,-0.0070602654
-1.973181e-07,-0.0070573932
-1.972181e-07,-0.007055239
-1.971181e-07,-0.0070538028
-1.970181e-07,-0.0070530848
-1.969181e-07,-0.0070502125
-1.968181e-07,-0.00704375
-1.967181e-07,-0.0070329791
-1.966181e-07,-0.007020054
-1.965181e-07,-0.007007847
-1.964181e-07,-0.0069977941
-1.963181e-07,-0.0069906135
-1.962181e-07,-0.0069834329
-1.961181e-07,-0.0069755342
-1.960181e-07,-0.0069633272
-1.959181e-07,-0.0069482479
-1.958181e-07,-0.0069331687
-1.957181e-07,-0.0069216797
-1.956181e-07,-0.0069173713
-1.955181e-07,-0.0069209616
-1.954181e-07,-0.0069288603
-1.953181e-07,-0.006936759
-1.952181e-07,-0.0069403493
-1.951181e-07,-0.0069381951
-1.950181e-07,-0.0069310145
-1.949181e-07,-0.0069231158
-1.948181e-07,-0.0069173713
-1.947181e-07,-0.0069159352
-1.946181e-07,-0.0069180894
-1.945181e-07,-0.0069195255
-1.944181e-07,-0.0069173713
-1.943181e-07,-0.0069094727
-1.942181e-07,-0.0068987017
-1.941181e-07,-0.0068879308
-1.940181e-07,-0.0068829044
-1.939181e-07,-0.0068857767
-1.938181e-07,-0.0068972656
-1.937181e-07,-0.006913063
-1.936181e-07,-0.0069288603
-1.935181e-07,-0.0069403493
-1.934181e-07,-0.0069460937
-1.933181e-07,-0.0069453757
-1.932181e-07,-0.0069403493
-1.931181e-07,-0.0069346048
-1.930181e-07,-0.0069295784
-1.929181e-07,-0.0069274242
-1.928181e-07,-0.0069288603
-1.927181e-07,-0.0069360409
-1.926181e-07,-0.0069482479
-1.925181e-07,-0.0069661994
-1.924181e-07,-0.0069863051
-1.923181e-07,-0.0070056928
-1.922181e-07,-0.0070193359
-1.921181e-07,-0.0070243624
-1.920181e-07,-0.0070207721
-1.919181e-07,-0.0070121553
-1.918181e-07,-0.0070049747
-1.917181e-07,-0.0070028205
-1.916181e-07,-0.0070092831
-1.915181e-07,-0.0070207721
-1.914181e-07,-0.007032261
-1.913181e-07,-0.0070372875
-1.912181e-07,-0.007032261
-1.911181e-07,-0.0070193359
-1.910181e-07,-0.0070049747
-1.909181e-07,-0.006996358
-1.908181e-07,-0.0069977941
-1.907181e-07,-0.0070092831
-1.906181e-07,-0.0070236443
-1.905181e-07,-0.0070344152
-1.904181e-07,-0.007032261
-1.903181e-07,-0.0070164637
-1.902181e-07,-0.0069898955
-1.901181e-07,-0.0069618911
-1.900181e-07,-0.0069403493
-1.899181e-07,-0.0069317325
-1.898181e-07,-0.0069353228
-1.897181e-07,-0.0069482479
-1.896181e-07,-0.0069633272
-1.895181e-07,-0.0069762523
-1.894181e-07,-0.0069855871
-1.893181e-07,-0.0069920496
-1.892181e-07,-0.0069977941
-1.891181e-07,-0.0070028205
-1.890181e-07,-0.0070056928
-1.889181e-07,-0.0070042567
-1.888181e-07,-0.0069977941
-1.887181e-07,-0.0069884593
-1.886181e-07,-0.0069798426
-1.885181e-07,-0.0069784065
-1.884181e-07,-0.0069863051
-1.883181e-07,-0.0070013844
-1.882181e-07,-0.0070186179
-1.881181e-07,-0.0070308249
-1.880181e-07,-0.007032261
-1.879181e-07,-0.0070243624
-1.878181e-07,-0.0070121553
-1.877181e-07,-0.0070042567
-1.876181e-07,-0.0070092831
-1.875181e-07,-0.0070286707
-1.874181e-07,-0.0070581112
-1.873181e-07,-0.0070889878
-1.872181e-07,-0.0071126838
-1.871181e-07,-0.0071227367
-1.870181e-07,-0.0071191464
-1.869181e-07,-0.0071062213
-1.868181e-07,-0.0070897059
-1.867181e-07,-0.0070746266
-1.866181e-07,-0.0070624196
-1.865181e-07,-0.0070523667
-1.864181e-07,-0.00704375
-1.863181e-07,-0.0070372875
-1.862181e-07,-0.0070351333
-1.861181e-07,-0.0070408778
-1.860181e-07,-0.007055239
-1.859181e-07,-0.0070746266
-1.858181e-07,-0.007091142
-1.857181e-07,-0.0070983226
-1.856181e-07,-0.0070897059
-1.855181e-07,-0.0070681641
-1.854181e-07,-0.0070408778
-1.853181e-07,-0.0070186179
-1.852181e-07,-0.0070092831
-1.851181e-07,-0.0070143095
-1.850181e-07,-0.0070279527
-1.849181e-07,-0.0070401597
-1.848181e-07,-0.00704375
-1.847181e-07,-0.0070344152
-1.846181e-07,-0.0070157456
-1.845181e-07,-0.0069970761
-1.844181e-07,-0.0069863051
-1.843181e-07,-0.0069870232
-1.842181e-07,-0.006996358
-1.841181e-07,-0.0070071289
-1.840181e-07,-0.0070092831
-1.839181e-07,-0.0069999483
-1.838181e-07,-0.0069798426
-1.837181e-07,-0.0069575827
-1.836181e-07,-0.0069403493
-1.835181e-07,-0.0069338867
-1.834181e-07,-0.006936759
-1.833181e-07,-0.0069453757
-1.832181e-07,-0.0069518382
-1.831181e-07,-0.0069532744
-1.830181e-07,-0.0069511202
-1.829181e-07,-0.006948966
-1.828181e-07,-0.0069518382
-1.827181e-07,-0.0069618911
-1.826181e-07,-0.0069769704
-1.825181e-07,-0.0069898955
-1.824181e-07,-0.0069977941
-1.823181e-07,-0.0069977941
-1.822181e-07,-0.0069942038
-1.821181e-07,-0.0069920496
-1.820181e-07,-0.0069977941
-1.819181e-07,-0.0070121553
-1.818181e-07,-0.007031543
-1.817181e-07,-0.0070480584
-1.816181e-07,-0.007055239
-1.815181e-07,-0.0070523667
-1.814181e-07,-0.0070423139
-1.813181e-07,-0.0070336972
-1.812181e-07,-0.007032261
-1.811181e-07,-0.0070408778
-1.810181e-07,-0.0070545209
-1.809181e-07,-0.0070652918
-1.808181e-07,-0.0070667279
-1.807181e-07,-0.007055239
-1.806181e-07,-0.0070344152
-1.805181e-07,-0.0070121553
-1.804181e-07,-0.0069977941
-1.803181e-07,-0.0069942038
-1.802181e-07,-0.0069999483
-1.801181e-07,-0.0070071289
-1.800181e-07,-0.0070092831
-1.799181e-07,-0.0070028205
-1.798181e-07,-0.0069906135
-1.797181e-07,-0.0069791245
-1.796181e-07,-0.0069748162
-1.795181e-07,-0.0069812787
-1.794181e-07,-0.0069949219
-1.793181e-07,-0.0070107192
-1.792181e-07,-0.0070207721
-1.791181e-07,-0.0070214901
-1.790181e-07,-0.0070143095
-1.789181e-07,-0.0070049747
-1.788181e-07,-0.0069977941
-1.787181e-07,-0.0069949219
-1.786181e-07,-0.0069942038
-1.785181e-07,-0.0069891774
-1.784181e-07,-0.0069748162
-1.783181e-07,-0.0069525563
-1.782181e-07,-0.0069274242
-1.781181e-07,-0.0069094727
-1.780181e-07,-0.0069058824
-1.779181e-07,-0.0069188074
-1.778181e-07,-0.0069439396
-1.777181e-07,-0.0069697898
-1.776181e-07,-0.0069863051
-1.775181e-07,-0.0069891774
-1.774181e-07,-0.0069812787
-1.773181e-07,-0.0069690717
